Bakugan_ENG,Atributo,G_Power,Nombre_JP,Fuente_Link
Angelo/Diablo Preyas,Subterra,"300, 720",TBD,https://bakugan.fandom.com/wiki/Angelo/Diablo_Preyas
Apollonir,Pyrus,"470, 500, 640, 650, 680, 700",TBD,https://bakugan.fandom.com/wiki/Apollonir
Apollonir,Aquos,530,TBD,https://bakugan.fandom.com/wiki/Apollonir
Apollonir,Subterra,"450, 500, 660",TBD,https://bakugan.fandom.com/wiki/Apollonir
Apollonir,Haos,"480, 530, 580",TBD,https://bakugan.fandom.com/wiki/Apollonir
Apollonir,Darkus,640,TBD,https://bakugan.fandom.com/wiki/Apollonir
Apollonir,Ventus,"500, 650",TBD,https://bakugan.fandom.com/wiki/Apollonir
Aranaut,Pyrus,"730, 750, 760",TBD,https://bakugan.fandom.com/wiki/Aranaut
Aranaut,Aquos,"650, 780",TBD,https://bakugan.fandom.com/wiki/Aranaut
Aranaut,Subterra,"640, 740",TBD,https://bakugan.fandom.com/wiki/Aranaut
Aranaut,Haos,"540, 680, 760, 770, 800",TBD,https://bakugan.fandom.com/wiki/Aranaut
Aranaut,Darkus,"720, 760, 810",TBD,https://bakugan.fandom.com/wiki/Aranaut
Aranaut,Ventus,"620, 700, 780",TBD,https://bakugan.fandom.com/wiki/Aranaut
Avior,Pyrus,"630, 660, 750, 770",TBD,https://bakugan.fandom.com/wiki/Avior
Avior,Aquos,740,TBD,https://bakugan.fandom.com/wiki/Avior
Avior,Subterra,"620, 630, 750, 780",TBD,https://bakugan.fandom.com/wiki/Avior
Avior,Haos,"850, 870",TBD,https://bakugan.fandom.com/wiki/Avior
Avior,Darkus,"790, 880",TBD,https://bakugan.fandom.com/wiki/Avior
Avior,Ventus,"600, 880, 900",TBD,https://bakugan.fandom.com/wiki/Avior
Bakugan Armors,Unknown,100,TBD,https://bakugan.fandom.com/wiki/Bakugan_Armors
Bee Striker,Pyrus,640,TBD,https://bakugan.fandom.com/wiki/Bee_Striker
Bee Striker,Aquos,600,TBD,https://bakugan.fandom.com/wiki/Bee_Striker
Bee Striker,Haos,630,TBD,https://bakugan.fandom.com/wiki/Bee_Striker
Bee Striker,Ventus,"270, 470",TBD,https://bakugan.fandom.com/wiki/Bee_Striker
Blade Tigrerra,Subterra,"460, 480, 500, 650, 750",TBD,https://bakugan.fandom.com/wiki/Blade_Tigrerra
Blade Tigrerra,Haos,"340, 360, 380, 550",TBD,https://bakugan.fandom.com/wiki/Blade_Tigrerra
Blade Tigrerra,Ventus,"450, 580",TBD,https://bakugan.fandom.com/wiki/Blade_Tigrerra
Breezak,Pyrus,800,TBD,https://bakugan.fandom.com/wiki/Breezak
Breezak,Aquos,810,TBD,https://bakugan.fandom.com/wiki/Breezak
Breezak,Darkus,780,TBD,https://bakugan.fandom.com/wiki/Breezak
Breezak,Ventus,790,TBD,https://bakugan.fandom.com/wiki/Breezak
Brontes,Haos,420,TBD,https://bakugan.fandom.com/wiki/Brontes
Brontes,Darkus,"510, 590, 650",TBD,https://bakugan.fandom.com/wiki/Brontes
Brontes,Ventus,"500, 560, 620",TBD,https://bakugan.fandom.com/wiki/Brontes
Centipoid,Pyrus,540,TBD,https://bakugan.fandom.com/wiki/Centipoid
Centipoid,Aquos,"300, 350",TBD,https://bakugan.fandom.com/wiki/Centipoid
Centipoid,Subterra,"340, 500, 560",TBD,https://bakugan.fandom.com/wiki/Centipoid
Centipoid,Haos,450,TBD,https://bakugan.fandom.com/wiki/Centipoid
Centipoid,Darkus,450,TBD,https://bakugan.fandom.com/wiki/Centipoid
Centipoid,Ventus,380,TBD,https://bakugan.fandom.com/wiki/Centipoid
Clawsaurus,Pyrus,780,TBD,https://bakugan.fandom.com/wiki/Clawsaurus
Clawsaurus,Aquos,730,TBD,https://bakugan.fandom.com/wiki/Clawsaurus
Clawsaurus,Subterra,750,TBD,https://bakugan.fandom.com/wiki/Clawsaurus
Clawsaurus,Haos,740,TBD,https://bakugan.fandom.com/wiki/Clawsaurus
Clawsaurus,Darkus,"730, 790",TBD,https://bakugan.fandom.com/wiki/Clawsaurus
Clawsaurus,Ventus,750,TBD,https://bakugan.fandom.com/wiki/Clawsaurus
Clayf,Pyrus,"310, 390, 520, 570, 590",TBD,https://bakugan.fandom.com/wiki/Clayf
Clayf,Aquos,"310, 650",TBD,https://bakugan.fandom.com/wiki/Clayf
Clayf,Subterra,"440, 700",TBD,https://bakugan.fandom.com/wiki/Clayf
Clayf,Darkus,640,TBD,https://bakugan.fandom.com/wiki/Clayf
Cycloid,Pyrus,"330, 400",TBD,https://bakugan.fandom.com/wiki/Cycloid
Cycloid,Subterra,"400, 440",TBD,https://bakugan.fandom.com/wiki/Cycloid
Cycloid,Haos,250,TBD,https://bakugan.fandom.com/wiki/Cycloid
Cycloid,Darkus,"390, 510, 540, 570",TBD,https://bakugan.fandom.com/wiki/Cycloid
Cycloid,Ventus,"350, 450, 550, 580",TBD,https://bakugan.fandom.com/wiki/Cycloid
Cycloid,Clear,510,TBD,https://bakugan.fandom.com/wiki/Cycloid
Dharak,Pyrus,"660, 700, 770",TBD,https://bakugan.fandom.com/wiki/Dharak
Dharak,Aquos,"700, 720",TBD,https://bakugan.fandom.com/wiki/Dharak
Dharak,Subterra,"620, 720",TBD,https://bakugan.fandom.com/wiki/Dharak
Dharak,Haos,"640, 660, 690",TBD,https://bakugan.fandom.com/wiki/Dharak
Dharak,Darkus,"520, 600, 610, 620, 670, 720, 750, 790, 800",TBD,https://bakugan.fandom.com/wiki/Dharak
Dharak,Ventus,"660, 700, 870",TBD,https://bakugan.fandom.com/wiki/Dharak
Dragonoid (Generation 1),Pyrus,"270, 290, 300, 310, 340, 350, 360, 400, 420, 440, 450, 490, 510, 520, 600, 610, 660, 700, 800",TBD,https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Aquos,"250, 300, 310, 400, 550",TBD,https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Subterra,"290, 350, 420, 470, 590",TBD,https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Haos,"260, 280, 330, 510",TBD,https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Darkus,"300, 320, 350, 400, 420, 450, 470",TBD,https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Ventus,300,TBD,https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Clear,530,TBD,https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dual Hydranoid,Pyrus,"380, 540",TBD,https://bakugan.fandom.com/wiki/Dual_Hydranoid
Dual Hydranoid,Aquos,"530, 540",TBD,https://bakugan.fandom.com/wiki/Dual_Hydranoid
Dual Hydranoid,Subterra,540,TBD,https://bakugan.fandom.com/wiki/Dual_Hydranoid
Dual Hydranoid,Darkus,"380, 400, 450, 500, 520, 580, 610, 650",TBD,https://bakugan.fandom.com/wiki/Dual_Hydranoid
Fear Ripper,Pyrus,300,TBD,https://bakugan.fandom.com/wiki/Fear_Ripper
Fear Ripper,Aquos,450,TBD,https://bakugan.fandom.com/wiki/Fear_Ripper
Fear Ripper,Subterra,540,TBD,https://bakugan.fandom.com/wiki/Fear_Ripper
Fear Ripper,Haos,310,TBD,https://bakugan.fandom.com/wiki/Fear_Ripper
Fear Ripper,Darkus,"390, 450, 470",TBD,https://bakugan.fandom.com/wiki/Fear_Ripper
Fencer,Pyrus,"500, 740",TBD,https://bakugan.fandom.com/wiki/Fencer
Fencer,Aquos,700,TBD,https://bakugan.fandom.com/wiki/Fencer
Fencer,Subterra,"590, 780",TBD,https://bakugan.fandom.com/wiki/Fencer
Fencer,Haos,"630, 640",TBD,https://bakugan.fandom.com/wiki/Fencer
Foxbat,Aquos,700,TBD,https://bakugan.fandom.com/wiki/Foxbat
Foxbat,Subterra,"730, 780",TBD,https://bakugan.fandom.com/wiki/Foxbat
Foxbat,Haos,"540, 740",TBD,https://bakugan.fandom.com/wiki/Foxbat
Foxbat,Darkus,"590, 600",TBD,https://bakugan.fandom.com/wiki/Foxbat
Foxbat,Ventus,"600, 750",TBD,https://bakugan.fandom.com/wiki/Foxbat
Hyper Dragonoid,Pyrus,"490, 500, 580, 590, 600, 690, 700, 740, 750",TBD,https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Aquos,640,TBD,https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Subterra,"700, 710, 720, 780",TBD,https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Haos,"490, 580, 670",TBD,https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Darkus,"530, 560, 730",TBD,https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Ventus,550,TBD,https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Clear,"560, 600, 700",TBD,https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Infinity Helios,Pyrus,1150,TBD,https://bakugan.fandom.com/wiki/Infinity_Helios
Infinity Helios,Aquos,1200,TBD,https://bakugan.fandom.com/wiki/Infinity_Helios
Infinity Helios,Subterra,950,TBD,https://bakugan.fandom.com/wiki/Infinity_Helios
Infinity Helios,Haos,1150,TBD,https://bakugan.fandom.com/wiki/Infinity_Helios
Infinity Helios,Darkus,1150,TBD,https://bakugan.fandom.com/wiki/Infinity_Helios
Infinity Helios,Ventus,950,TBD,https://bakugan.fandom.com/wiki/Infinity_Helios
Irisca,Aquos,900,TBD,https://bakugan.fandom.com/wiki/Irisca
Irisca,Ventus,950,TBD,https://bakugan.fandom.com/wiki/Irisca
Krakix,Pyrus,"650, 670, 750, 780, 800, 850",TBD,https://bakugan.fandom.com/wiki/Krakix
Krakix,Aquos,780,TBD,https://bakugan.fandom.com/wiki/Krakix
Krakix,Subterra,680,TBD,https://bakugan.fandom.com/wiki/Krakix
Krakix,Haos,750,TBD,https://bakugan.fandom.com/wiki/Krakix
Krakix,Darkus,"650, 670, 790, 800",TBD,https://bakugan.fandom.com/wiki/Krakix
Krakix,Ventus,"620, 640",TBD,https://bakugan.fandom.com/wiki/Krakix
List of Bakugan,Unknown,700,TBD,https://bakugan.fandom.com/wiki/List_of_Bakugan
List of Bakugan,Unknown,760,TBD,https://bakugan.fandom.com/wiki/List_of_Bakugan
Lumagrowl,Pyrus,"650, 800",TBD,https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Aquos,"730, 740",TBD,https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Subterra,680,TBD,https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Haos,"660, 700, 780, 790, 800, 900",TBD,https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Darkus,700,TBD,https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Ventus,780,TBD,https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Clear,780,TBD,https://bakugan.fandom.com/wiki/Lumagrowl
Monarus,Pyrus,"470, 700",TBD,https://bakugan.fandom.com/wiki/Monarus
Monarus,Aquos,570,TBD,https://bakugan.fandom.com/wiki/Monarus
Monarus,Subterra,"490, 580",TBD,https://bakugan.fandom.com/wiki/Monarus
Monarus,Haos,590,TBD,https://bakugan.fandom.com/wiki/Monarus
Monarus,Ventus,"200, 380, 440, 560, 640",TBD,https://bakugan.fandom.com/wiki/Monarus
Moonlit Monarus,Pyrus,700,TBD,https://bakugan.fandom.com/wiki/Moonlit_Monarus
Moonlit Monarus,Haos,710,TBD,https://bakugan.fandom.com/wiki/Moonlit_Monarus
Neo Dragonoid,Pyrus,"400, 420, 440, 460, 480, 540, 550, 560, 630, 640, 650, 750, 1000, 2007",TBD,https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Aquos,"410, 520, 620, 720, 800",TBD,https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Subterra,"420, 540, 600",TBD,https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Haos,"440, 510, 540",TBD,https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Darkus,"440, 500, 520, 540, 600, 720",TBD,https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Ventus,"440, 450, 520, 540, 700",TBD,https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Clear,"500, 650, 670",TBD,https://bakugan.fandom.com/wiki/Neo_Dragonoid
Percival,Pyrus,"500, 510, 520, 700",TBD,https://bakugan.fandom.com/wiki/Percival
Percival,Aquos,"520, 540, 550",TBD,https://bakugan.fandom.com/wiki/Percival
Percival,Subterra,"470, 500, 700",TBD,https://bakugan.fandom.com/wiki/Percival
Percival,Darkus,"400, 420, 440, 600",TBD,https://bakugan.fandom.com/wiki/Percival
Percival,Ventus,"620, 720",TBD,https://bakugan.fandom.com/wiki/Percival
Percival,Clear,620,TBD,https://bakugan.fandom.com/wiki/Percival
Phosphos,Pyrus,"760, 770",TBD,https://bakugan.fandom.com/wiki/Phosphos
Phosphos,Aquos,"680, 750",TBD,https://bakugan.fandom.com/wiki/Phosphos
Phosphos,Darkus,650,TBD,https://bakugan.fandom.com/wiki/Phosphos
Phosphos,Ventus,750,TBD,https://bakugan.fandom.com/wiki/Phosphos
Quake Dragonoid,Pyrus,"950, 1000, 1050",TBD,https://bakugan.fandom.com/wiki/Quake_Dragonoid
Quake Dragonoid,Aquos,"940, 1100, 1370",TBD,https://bakugan.fandom.com/wiki/Quake_Dragonoid
Quake Dragonoid,Subterra,"970, 1130",TBD,https://bakugan.fandom.com/wiki/Quake_Dragonoid
Quake Dragonoid,Haos,"960, 1000, 1100",TBD,https://bakugan.fandom.com/wiki/Quake_Dragonoid
Quake Dragonoid,Darkus,"950, 1000",TBD,https://bakugan.fandom.com/wiki/Quake_Dragonoid
Quake Dragonoid,Ventus,"950, 990, 1150",TBD,https://bakugan.fandom.com/wiki/Quake_Dragonoid
Rubanoid,Pyrus,"540, 560, 750, 850, 940",TBD,https://bakugan.fandom.com/wiki/Rubanoid
Rubanoid,Aquos,"620, 770, 890, 900",TBD,https://bakugan.fandom.com/wiki/Rubanoid
Rubanoid,Subterra,800,TBD,https://bakugan.fandom.com/wiki/Rubanoid
Rubanoid,Haos,"630, 790, 900",TBD,https://bakugan.fandom.com/wiki/Rubanoid
Rubanoid,Darkus,"650, 750, 790, 850, 920",TBD,https://bakugan.fandom.com/wiki/Rubanoid
Rubanoid,Ventus,"780, 900",TBD,https://bakugan.fandom.com/wiki/Rubanoid
Sabator,Subterra,740,TBD,https://bakugan.fandom.com/wiki/Sabator
Spindle,Pyrus,"480, 520, 550, 640, 710",TBD,https://bakugan.fandom.com/wiki/Spindle
Spindle,Aquos,"480, 660, 720",TBD,https://bakugan.fandom.com/wiki/Spindle
Spindle,Haos,550,TBD,https://bakugan.fandom.com/wiki/Spindle
Spindle,Ventus,"500, 720",TBD,https://bakugan.fandom.com/wiki/Spindle
Strikeflier,Pyrus,"710, 750, 800",TBD,https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Aquos,"680, 800",TBD,https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Subterra,"630, 820",TBD,https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Haos,"700, 740, 770",TBD,https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Darkus,"630, 730, 770",TBD,https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Ventus,"620, 660, 750, 780",TBD,https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Clear,730,TBD,https://bakugan.fandom.com/wiki/Strikeflier
Wilda,Pyrus,650,TBD,https://bakugan.fandom.com/wiki/Wilda
Wilda,Aquos,520,TBD,https://bakugan.fandom.com/wiki/Wilda
Wilda,Subterra,"515, 570, 640, 700",TBD,https://bakugan.fandom.com/wiki/Wilda
Wilda,Ventus,570,TBD,https://bakugan.fandom.com/wiki/Wilda
