Bakugan_ENG,Atributo,G_Power_Detailed,Fuente_Link
Alpha Hydranoid,Subterra,"460G (Japan), 480G (Japan), 500G (Japan), 650G, 750G",https://bakugan.fandom.com/wiki/Alpha_Hydranoid
Alpha Hydranoid,Haos,"630G, 680G",https://bakugan.fandom.com/wiki/Alpha_Hydranoid
Alpha Hydranoid,Darkus,"340G ( Translucent Japan), 360G, 380G ( Translucent Japan), 670G, 800G ( BakuEvolutions )",https://bakugan.fandom.com/wiki/Alpha_Hydranoid
Alpha Hydranoid,Ventus,640G,https://bakugan.fandom.com/wiki/Alpha_Hydranoid
Alpha Percival,Pyrus,"440G (Japan), 500G ( Translucent )",https://bakugan.fandom.com/wiki/Alpha_Percival
Alpha Percival,Darkus,"520G (Japan), 550G, 550G (New Vestroia Battle Pack ), 700G, 710G ( Pearl ), 720G",https://bakugan.fandom.com/wiki/Alpha_Percival
Alpha Percival,Ventus,"630G, 650G ( Translucent ), 680G ( Translucent )",https://bakugan.fandom.com/wiki/Alpha_Percival
Alpha Percival,Clear,550G,https://bakugan.fandom.com/wiki/Alpha_Percival
Alpha Percival Cyclone,Darkus,"700G, 800G",https://bakugan.fandom.com/wiki/Alpha_Percival_Cyclone
Altair,Pyrus,670G,https://bakugan.fandom.com/wiki/Altair
Altair,Aquos,"610G, 490G",https://bakugan.fandom.com/wiki/Altair
Altair,Haos,"520G, 650G ( Translucent ), 750G ( BakuSteel )",https://bakugan.fandom.com/wiki/Altair
Altair,Darkus,660G,https://bakugan.fandom.com/wiki/Altair
Altair,Ventus,"500G, 630G, 640G, 650G ( BakuSteel ), 710G ( BakuSteel )",https://bakugan.fandom.com/wiki/Altair
Alto Brontes,Pyrus,"650G ( Translucent ), 680G ( BakuCore )",https://bakugan.fandom.com/wiki/Alto_Brontes
Alto Brontes,Aquos,"550G ( BakuCore , BakuSteel )",https://bakugan.fandom.com/wiki/Alto_Brontes
Alto Brontes,Haos,"520G ( Translucent ), 640G ( BakuCore , BakuFlip , BakuSteel )",https://bakugan.fandom.com/wiki/Alto_Brontes
Angelo/Diablo Preyas,Aquos,"500G, 480G (Japan), 460G (Japan)",https://bakugan.fandom.com/wiki/Angelo/Diablo_Preyas
Angelo/Diablo Preyas,Subterra,"720G, 300G",https://bakugan.fandom.com/wiki/Angelo/Diablo_Preyas
Apollonir,Pyrus,"470G, 500G (Pyrus/Haos Dual ), 640G, 650G, 680G ( Translucent ), 700G",https://bakugan.fandom.com/wiki/Apollonir
Apollonir,Aquos,530G,https://bakugan.fandom.com/wiki/Apollonir
Apollonir,Subterra,"450G, 500G, 660G",https://bakugan.fandom.com/wiki/Apollonir
Apollonir,Haos,"480G, 530G, 580G",https://bakugan.fandom.com/wiki/Apollonir
Apollonir,Darkus,640G,https://bakugan.fandom.com/wiki/Apollonir
Apollonir,Ventus,"500G, 650G",https://bakugan.fandom.com/wiki/Apollonir
Aranaut,Pyrus,"730G, 750G, 760G",https://bakugan.fandom.com/wiki/Aranaut
Aranaut,Aquos,"650G, 780G",https://bakugan.fandom.com/wiki/Aranaut
Aranaut,Subterra,"640G, 740G",https://bakugan.fandom.com/wiki/Aranaut
Aranaut,Haos,"540G (Japan), 680G, 760G, 770G, 800G",https://bakugan.fandom.com/wiki/Aranaut
Aranaut,Darkus,"720G, 760G, 810G",https://bakugan.fandom.com/wiki/Aranaut
Aranaut,Ventus,"620G, 700G, 780G",https://bakugan.fandom.com/wiki/Aranaut
Avior,Pyrus,"630G (BakuTriad), 660G, 750G (D2), 770G (Crimson and Pearl)",https://bakugan.fandom.com/wiki/Avior
Avior,Aquos,740G (BakuBoost),https://bakugan.fandom.com/wiki/Avior
Avior,Subterra,"620G, 630G (BakuTriad), 750G, 780G",https://bakugan.fandom.com/wiki/Avior
Avior,Haos,"850G, 870G (D2)",https://bakugan.fandom.com/wiki/Avior
Avior,Darkus,"790G, 880G (D2)",https://bakugan.fandom.com/wiki/Avior
Avior,Ventus,"600G (BakuTriad), 900G, 880G (D2)",https://bakugan.fandom.com/wiki/Avior
Bakugan Armors,Unknown,100G,https://bakugan.fandom.com/wiki/Bakugan_Armors
Bee Striker,Pyrus,640G,https://bakugan.fandom.com/wiki/Bee_Striker
Bee Striker,Aquos,600G,https://bakugan.fandom.com/wiki/Bee_Striker
Bee Striker,Haos,630G,https://bakugan.fandom.com/wiki/Bee_Striker
Bee Striker,Ventus,"270G (Japan), 470G (Japan)",https://bakugan.fandom.com/wiki/Bee_Striker
Blade Tigrerra,Subterra,"460G (Japan), 480G (Japan), 500G (Japan), 650G, 750G",https://bakugan.fandom.com/wiki/Blade_Tigrerra
Blade Tigrerra,Haos,"340G (Japan), 360G, 380G (Japan), 550G ( BakuBox )",https://bakugan.fandom.com/wiki/Blade_Tigrerra
Blade Tigrerra,Ventus,"450G, 580G",https://bakugan.fandom.com/wiki/Blade_Tigrerra
Breezak,Pyrus,800G,https://bakugan.fandom.com/wiki/Breezak
Breezak,Aquos,810G,https://bakugan.fandom.com/wiki/Breezak
Breezak,Darkus,780G,https://bakugan.fandom.com/wiki/Breezak
Breezak,Ventus,790G,https://bakugan.fandom.com/wiki/Breezak
Brontes,Haos,420G,https://bakugan.fandom.com/wiki/Brontes
Brontes,Darkus,"510G ( BakuBronze ), 590G, 650G",https://bakugan.fandom.com/wiki/Brontes
Brontes,Ventus,"500G (New Vestroia Battle Pack), 560G, 620G",https://bakugan.fandom.com/wiki/Brontes
Centipoid,Pyrus,"540G, 540G ( Translucent )",https://bakugan.fandom.com/wiki/Centipoid
Centipoid,Aquos,"300G, 350G",https://bakugan.fandom.com/wiki/Centipoid
Centipoid,Subterra,"340G (Japan), 500G (Japan), 560G",https://bakugan.fandom.com/wiki/Centipoid
Centipoid,Haos,450G,https://bakugan.fandom.com/wiki/Centipoid
Centipoid,Darkus,450G,https://bakugan.fandom.com/wiki/Centipoid
Centipoid,Ventus,380G,https://bakugan.fandom.com/wiki/Centipoid
Clawsaurus,Pyrus,780G,https://bakugan.fandom.com/wiki/Clawsaurus
Clawsaurus,Aquos,730G,https://bakugan.fandom.com/wiki/Clawsaurus
Clawsaurus,Subterra,750G,https://bakugan.fandom.com/wiki/Clawsaurus
Clawsaurus,Haos,740G,https://bakugan.fandom.com/wiki/Clawsaurus
Clawsaurus,Darkus,"730G, 790G",https://bakugan.fandom.com/wiki/Clawsaurus
Clawsaurus,Ventus,750G,https://bakugan.fandom.com/wiki/Clawsaurus
Clayf,Pyrus,"310G (Pyrus/Subterra Dual Attribute ), 390G, 520G, 570G (Pyrus/Subterra Dual Attribute ), 590G",https://bakugan.fandom.com/wiki/Clayf
Clayf,Aquos,"310G, 650G",https://bakugan.fandom.com/wiki/Clayf
Clayf,Subterra,"440G, 700G",https://bakugan.fandom.com/wiki/Clayf
Clayf,Darkus,640G,https://bakugan.fandom.com/wiki/Clayf
Cycloid,Pyrus,"330G, 400G (BakuPearl)",https://bakugan.fandom.com/wiki/Cycloid
Cycloid,Subterra,"400G (Japan), 440G (Japan)",https://bakugan.fandom.com/wiki/Cycloid
Cycloid,Haos,250G,https://bakugan.fandom.com/wiki/Cycloid
Cycloid,Darkus,"390G, 390G (BakuPearl), 510G, 540G, 570G",https://bakugan.fandom.com/wiki/Cycloid
Cycloid,Ventus,"350G, 450G, 550G, 580G",https://bakugan.fandom.com/wiki/Cycloid
Cycloid,Clear,510G,https://bakugan.fandom.com/wiki/Cycloid
Dharak,Pyrus,"660G, 700G, 770G ( Crimson and Pearl )",https://bakugan.fandom.com/wiki/Dharak
Dharak,Aquos,"700G, 720G",https://bakugan.fandom.com/wiki/Dharak
Dharak,Subterra,"620G, 720G",https://bakugan.fandom.com/wiki/Dharak
Dharak,Haos,"640G, 660G, 690G ( Evil Twin )",https://bakugan.fandom.com/wiki/Dharak
Dharak,Darkus,"520G (Japan), 600G, 610G, 620G, 670G, 720G ( Translucent ), 750G, 790G, 800G",https://bakugan.fandom.com/wiki/Dharak
Dharak,Ventus,"660G, 700G, 870G ( BakuBlue )",https://bakugan.fandom.com/wiki/Dharak
Dragonoid (Generation 1),Pyrus,"270G, 290G, 300G, 310G, 340G, 340G (Dan's kit), 350G, 360G, 400G, 400G (Flip), 420G (Translucent), 440G (Japan), 450G, 450G (Translucent), 490G (Japan), 510G, 520G, 600G, 610G (Pearl), 660G ( Bronze Attack ), 700G, 800G ( BakuEvolutions )",https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Aquos,"250G, 300G (Translucent), 310G (Korea), 400G, 550G ( Pearl )",https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Subterra,"290G, 350G, 420G (Pearl), 470G ( Pearl ), 590G",https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Haos,"260G, 280G, 330G (Elephant Girl promotion), 510G (Translucent)",https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Darkus,"300G, 320G, 350G, 400G, 420G (Pearl), 450G, 470G",https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Ventus,300G,https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dragonoid (Generation 1),Clear,530G,https://bakugan.fandom.com/wiki/Dragonoid_(Generation_1)
Dual Hydranoid,Pyrus,"380G, 540G",https://bakugan.fandom.com/wiki/Dual_Hydranoid
Dual Hydranoid,Aquos,"530G, 540G",https://bakugan.fandom.com/wiki/Dual_Hydranoid
Dual Hydranoid,Subterra,540G,https://bakugan.fandom.com/wiki/Dual_Hydranoid
Dual Hydranoid,Darkus,"380G, 400G, 450G (Japan, Translucent ), 500G (Japan, Translucent ), 520G, 580G, 610G, 650G",https://bakugan.fandom.com/wiki/Dual_Hydranoid
Fear Ripper,Pyrus,300G,https://bakugan.fandom.com/wiki/Fear_Ripper
Fear Ripper,Aquos,450G ( BakuLyte ),https://bakugan.fandom.com/wiki/Fear_Ripper
Fear Ripper,Subterra,540G,https://bakugan.fandom.com/wiki/Fear_Ripper
Fear Ripper,Haos,310G,https://bakugan.fandom.com/wiki/Fear_Ripper
Fear Ripper,Darkus,"390G, 450G, 470G",https://bakugan.fandom.com/wiki/Fear_Ripper
Fencer,Pyrus,"500G (Maxus Helios), 740G",https://bakugan.fandom.com/wiki/Fencer
Fencer,Aquos,700G,https://bakugan.fandom.com/wiki/Fencer
Fencer,Subterra,"590G (BakuGlow), 590G (New Vestroia Battle Pack), 780G (BakuLegacy - BakuBoost/BakuTriad/Game Packs)",https://bakugan.fandom.com/wiki/Fencer
Fencer,Haos,"630G (BakuTriad), 640G (Translucent)",https://bakugan.fandom.com/wiki/Fencer
Foxbat,Aquos,700G (Brawler Game Pack),https://bakugan.fandom.com/wiki/Foxbat
Foxbat,Subterra,"730G, 780G",https://bakugan.fandom.com/wiki/Foxbat
Foxbat,Haos,"540G, 740G (BakuLegacy)",https://bakugan.fandom.com/wiki/Foxbat
Foxbat,Darkus,"590G (BakuFlip), 600G (Maxus Helios)",https://bakugan.fandom.com/wiki/Foxbat
Foxbat,Ventus,"600G (New Vestroia Battle Pack), 750G",https://bakugan.fandom.com/wiki/Foxbat
Hyper Dragonoid,Pyrus,"600G ( BakuCore ), 690G ( BakuSolar ), 740G, 580G ( BakuCore ), 590G ( BakuCore ), 750G ( BakuCore ), 490G, 500G, 700G, 750G",https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Aquos,640G,https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Subterra,"700G, 710G ( BakuSteel ), 720G, 780G ( Baku-Legacy )",https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Haos,"670G ( BakuSolar ), 490G, 580G",https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Darkus,"530G, 560G ( BakuFlip ), 730G",https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Ventus,550G ( Translucent ),https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Hyper Dragonoid,Clear,"560G, 700G, 600G",https://bakugan.fandom.com/wiki/Hyper_Dragonoid
Infinity Helios,Pyrus,1150G,https://bakugan.fandom.com/wiki/Infinity_Helios
Infinity Helios,Aquos,1200G,https://bakugan.fandom.com/wiki/Infinity_Helios
Infinity Helios,Subterra,950G,https://bakugan.fandom.com/wiki/Infinity_Helios
Infinity Helios,Haos,1150G,https://bakugan.fandom.com/wiki/Infinity_Helios
Infinity Helios,Darkus,1150G,https://bakugan.fandom.com/wiki/Infinity_Helios
Infinity Helios,Ventus,950G,https://bakugan.fandom.com/wiki/Infinity_Helios
Irisca,Aquos,900G,https://bakugan.fandom.com/wiki/Irisca
Irisca,Ventus,950G,https://bakugan.fandom.com/wiki/Irisca
Krakix,Pyrus,"650G (BakuTriad), 670G, 750G (Translucent), 780G, 800G (BakuBoost), 850G",https://bakugan.fandom.com/wiki/Krakix
Krakix,Aquos,780G,https://bakugan.fandom.com/wiki/Krakix
Krakix,Subterra,680G,https://bakugan.fandom.com/wiki/Krakix
Krakix,Haos,750G,https://bakugan.fandom.com/wiki/Krakix
Krakix,Darkus,"650G (Brawler Game Pack), 670G, 790G (BakuStealth), 800G",https://bakugan.fandom.com/wiki/Krakix
Krakix,Ventus,"620G, 640G (BakuTriad)",https://bakugan.fandom.com/wiki/Krakix
Lumagrowl,Pyrus,"650G (BakuTriad), 800G (BakuBoost + Super Assault pack)",https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Aquos,"740G (BakuTriad/Game Pack), 730G (BakuBoost)",https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Subterra,680G (BakuTriad),https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Haos,"800G (BakuBoost), 660G (BakuTriad), 700G (Bakugan Battle Arena), 780G, 790G (BakuCamo), 900G",https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Darkus,700G (BakuTin),https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Ventus,780G,https://bakugan.fandom.com/wiki/Lumagrowl
Lumagrowl,Clear,780G,https://bakugan.fandom.com/wiki/Lumagrowl
Monarus,Pyrus,"470G ( Pearl ), 700G",https://bakugan.fandom.com/wiki/Monarus
Monarus,Aquos,570G,https://bakugan.fandom.com/wiki/Monarus
Monarus,Subterra,"490G ( BakuClear ), 580G",https://bakugan.fandom.com/wiki/Monarus
Monarus,Haos,590G,https://bakugan.fandom.com/wiki/Monarus
Monarus,Ventus,"200G (Japan), 380G (Japan), 440G ( Pearl ), 560G, 640G ( Pearl )",https://bakugan.fandom.com/wiki/Monarus
Moonlit Monarus,Pyrus,700G,https://bakugan.fandom.com/wiki/Moonlit_Monarus
Moonlit Monarus,Haos,710G,https://bakugan.fandom.com/wiki/Moonlit_Monarus
Neo Dragonoid,Pyrus,"400G (Japan), 420G (Japan), 440G (Japan), 440G (Translucent, Japan), 460G (Translucent, Japan), 480G (Translucent, Japan), 540G (BakuClip), 550G, 560G, 560G (New Vestroia Battle Pack), 630G (Dan's Combat Set Pack), 640G (Brawler Game Pack), 650G (Bronze Special Attack), 750G (Dan's Glove), 1000G (Translucent, Semi-finalists, Baku-Con), 2007G (#1 Brawler, Baku-Con)",https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Aquos,"410G, 520G (Japan), 620G, 720G, 800G",https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Subterra,"600G, 540G, 420G",https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Haos,"540G (Japan), 440G, 510G",https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Darkus,"440G (Japan), 500G (Japan), 520G (Japan), 540G (Japan), 600G, 720G",https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Ventus,"520G (Japan), 540G (Japan), 450G, 440G, 700G",https://bakugan.fandom.com/wiki/Neo_Dragonoid
Neo Dragonoid,Clear,"670G, 500G, 650G",https://bakugan.fandom.com/wiki/Neo_Dragonoid
Percival,Pyrus,"500G (BakuBronze, Pyrus BakuTin), 510G (Japan), 520G (Japan), 700G (Pyrus BakuFlip)",https://bakugan.fandom.com/wiki/Percival
Percival,Aquos,"520G (Japan), 540G (Japan), 550G (New Vestroia BakuBowl/BakuBox)",https://bakugan.fandom.com/wiki/Percival
Percival,Subterra,"470G (New Vestroia Battle Pack), 500G (Japan), 700G (New Vestroia Battle Pack)",https://bakugan.fandom.com/wiki/Percival
Percival,Darkus,"400G (Japan), 420G (Japan), 440G (Japan), 600G (Translucent), 600G (European)",https://bakugan.fandom.com/wiki/Percival
Percival,Ventus,"620G, 720G (New Vestroia Battle Pack)",https://bakugan.fandom.com/wiki/Percival
Percival,Clear,620G (New Vestroia Booster Pack),https://bakugan.fandom.com/wiki/Percival
Phosphos,Pyrus,"760G (BakuTriad & BakuBoost), 770G",https://bakugan.fandom.com/wiki/Phosphos
Phosphos,Aquos,"680G (BakuTin), 750G (Combat Set)",https://bakugan.fandom.com/wiki/Phosphos
Phosphos,Darkus,650G,https://bakugan.fandom.com/wiki/Phosphos
Phosphos,Ventus,750G,https://bakugan.fandom.com/wiki/Phosphos
Quake Dragonoid,Pyrus,"950G, 1000G, 1050G",https://bakugan.fandom.com/wiki/Quake_Dragonoid
Quake Dragonoid,Aquos,"940G, 1100G, 1370G",https://bakugan.fandom.com/wiki/Quake_Dragonoid
Quake Dragonoid,Subterra,"970G, 1130G",https://bakugan.fandom.com/wiki/Quake_Dragonoid
Quake Dragonoid,Haos,"960G, 1000G, 1100G",https://bakugan.fandom.com/wiki/Quake_Dragonoid
Quake Dragonoid,Darkus,"950G, 1000G",https://bakugan.fandom.com/wiki/Quake_Dragonoid
Quake Dragonoid,Ventus,"950G, 990G, 1150G",https://bakugan.fandom.com/wiki/Quake_Dragonoid
Rubanoid,Pyrus,"540G (Japan), 560G (Japan), 750G, 850G, 940G",https://bakugan.fandom.com/wiki/Rubanoid
Rubanoid,Aquos,"620G (Translucent), 770G, 890G (BakuBlue), 900G",https://bakugan.fandom.com/wiki/Rubanoid
Rubanoid,Subterra,800G (Crimson and Pearl),https://bakugan.fandom.com/wiki/Rubanoid
Rubanoid,Haos,"630G, 790G (Translucent), 900G",https://bakugan.fandom.com/wiki/Rubanoid
Rubanoid,Darkus,"650G (Translucent), 750G (BakuBoost), 790G, 850G, 920G",https://bakugan.fandom.com/wiki/Rubanoid
Rubanoid,Ventus,"780G, 900G",https://bakugan.fandom.com/wiki/Rubanoid
Sabator,Subterra,740G (Combat Set),https://bakugan.fandom.com/wiki/Sabator
Spindle,Pyrus,"480G, 520G, 550G, 640G, 710G",https://bakugan.fandom.com/wiki/Spindle
Spindle,Aquos,"480G, 660G ( BakuGlow ), 720G",https://bakugan.fandom.com/wiki/Spindle
Spindle,Haos,"550G ( Maxus Helios part, BakuFlip )",https://bakugan.fandom.com/wiki/Spindle
Spindle,Ventus,"500G, 720G",https://bakugan.fandom.com/wiki/Spindle
Strikeflier,Pyrus,"710G (BakuBowl Arena), 750G (BakuBoost), 800G (Crimson and Pearl)",https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Aquos,"680G (BakuTin), 800G (BakuBoost)",https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Subterra,"820G (BakuTriad), 630G (Game Pack)",https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Haos,"700G, 740G (BakuBoost), 770G (BakuGranite)",https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Darkus,"630G (BakuTriad), 730G, 770G (BakuBoost), 770G (BakuPack)",https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Ventus,"620G, 660G (BakuTriad), 750G (Combat Set), 780G (BakuBoost)",https://bakugan.fandom.com/wiki/Strikeflier
Strikeflier,Clear,730G,https://bakugan.fandom.com/wiki/Strikeflier
Wilda,Pyrus,650G,https://bakugan.fandom.com/wiki/Wilda
Wilda,Aquos,520G,https://bakugan.fandom.com/wiki/Wilda
Wilda,Subterra,"570G, 640G, 700G, 515G (translucent)",https://bakugan.fandom.com/wiki/Wilda
Wilda,Ventus,570G (BakuCore),https://bakugan.fandom.com/wiki/Wilda
