Nombre_JP,Nombre_ENG,Atributo,G-Power,Size,Weight,Rareza,URL
泣祉鴻祉眼ゃ,Subterra Pyro Dragonoid,Subterra,500G/530G,32mm,11.5g,4.0,http://bakucolle.com/archives/25177519.html
祉鴻祉眼ゃ,Pyro Dragonoid,Haos,480G/560G,32mm,11.0g,4.0,http://bakucolle.com/archives/15165390.html
祉 祉眼ゃ,Pyro Dragonoid,Haos,640G,32mm,12.0g,7.0,http://bakucolle.com/archives/15169321.html
若潟祉 祉眼ゃ,Pyro Dragonoid,Darkus,590G,32mm,11.0g,4.0,http://bakucolle.com/archives/12997455.html
≪≪ ゃ若眼ゃ,Hyper Dragonoid,Aquos,540G,32mm,11.5g,4.0,http://bakucolle.com/archives/20249664.html
若潟祉ゃ若祉眼ゃ,Darkus Hyper Dragonoid,Darkus,500G,32mm,11.5g,3.0,http://bakucolle.com/archives/12986227.html
ゃ 祉眼ゃ,Hyper Dragonoid,Pyrus,500G/550G/680G/700G/740G,32mm,11.5g,4.0,http://bakucolle.com/archives/11349223.html
眼＜祉ゃ若祉眼ゃ,Pyrus Hyper Dragonoid,Pyrus,570G/690G,32mm,12.0g,5.0,http://bakucolle.com/archives/11349093.html
ゃ 祉眼ゃ,Hyper Dragonoid,Pyrus,560G/740G,32mm,12.0g,6.0,http://bakucolle.com/archives/11349144.html
ゃ若祉眼ゃ (＜若娯罕),Hyper Dragonoid,Pyrus,550G/600G/650G/740G,32mm,11.5g,4.0,http://bakucolle.com/archives/11349322.html
眼＜祉ゃ若祉眼ゃ,Pyrus Hyper Dragonoid,Pyrus,620G,32mm,12.0g,6.0,http://bakucolle.com/archives/29653181.html
≪≪祉ゃ若祉眼ゃ,Aquos Hyper Dragonoid,Aquos,670G,32mm,12.0g,5.0,http://bakucolle.com/archives/29653137.html
≪≪祉ゃ若祉眼ゃ,Aquos Hyper Dragonoid,Aquos,600G,32mm,12.0g,6.0,http://bakucolle.com/archives/29653150.html
若ｃ鴻祉ゃ若祉眼ゃ (＜若娯罕),Ventus Hyper Dragonoid,Ventus,700G,32mm,11.5g,6.0,http://bakucolle.com/archives/29332684.html
泣祉ゃ若祉眼ゃ (＜若娯罕),Subterra Hyper Dragonoid,Subterra,710G,32mm,11.5g,6.0,http://bakucolle.com/archives/29653119.html
祉ゃ若祉眼ゃ,Haos Hyper Dragonoid,Haos,670G,32mm,12.0g,5.0,http://bakucolle.com/archives/29653143.html
ゃ 祉眼ゃ,Hyper Dragonoid,Darkus,650G,32mm,11.5g,6.0,http://bakucolle.com/archives/12986267.html
ゃ若祉眼ゃ,Hyper Dragonoid,Darkus,730G,32mm,11.5g,6.0,http://bakucolle.com/archives/12985245.html
若潟祉ゃ若祉眼ゃ,Darkus Hyper Dragonoid,Darkus,530G,32mm,11.5g,6.0,http://bakucolle.com/archives/12985276.html
若潟祉ゃ若祉眼ゃ,Darkus Hyper Dragonoid,Darkus,530G,32mm,11.5g,6.0,http://bakucolle.com/archives/29332703.html
ゃ 祉眼ゃ,Hyper Dragonoid,Clear,Unknown,32mm,11.5g,6.0,http://bakucolle.com/archives/11349390.html
ゃ 祉眼ゃ,Hyper Dragonoid,Clear,740G,32mm,11.5g,6.0,http://bakucolle.com/archives/12986331.html
ゃ 祉眼ゃ,Hyper Dragonoid,Clear,850G,32mm,11.5g,6.0,http://bakucolle.com/archives/25103632.html
ゃ若祉眼ゃ,Hyper Dragonoid,Clear,710G,32mm,11.5g,6.0,http://bakucolle.com/archives/25177488.html
泣ゃ潟 眼ゃ,Cyclone Dragonoid,Pyrus,Unknown,32mm,g,5.0,http://bakucolle.com/archives/15832325.html
泣ゃ潟祉眼ゃ,Cyclone Dragonoid,Ventus,800G,32mm,13.5g,5.0,http://bakucolle.com/archives/25103645.html
泣祉泣ゃ潟祉眼ゃ,Subterra Dragonoid,Subterra,690G,32mm,13.5g,7.0,http://bakucolle.com/archives/29332674.html
鴻祉眼ゃ,Cross Dragonoid,Pyrus,540G,32mm,16.0g,4.0,http://bakucolle.com/archives/11348376.html
眼＜祉鴻祉眼ゃ,Pyrus Cross Dragonoid,Pyrus,540G,32mm,16.0g,5.0,http://bakucolle.com/archives/11348512.html
鴻祉眼ゃ,Cross Dragonoid,Pyrus,580G,32mm,16.5g,5.0,http://bakucolle.com/archives/11348845.html
≪≪祉鴻祉眼ゃ,Cross Dragonoid,Aquos,540G,32mm,16.0g,7.0,http://bakucolle.com/archives/20249224.html
若ｃ鴻祉鴻祉眼ゃ,Cross Dragonoid,Ventus,500G,32mm,16.0g,4.0,http://bakucolle.com/archives/20249289.html
若ｃ鴻祉鴻祉眼ゃ (≪帥ゃ),Cross Dragonoid,Ventus,540G,32mm,17.0g,9.0,http://bakucolle.com/archives/10874123.html
若潟祉鴻祉眼ゃ,Cross Dragonoid,Darkus,500G,32mm,16.0g,6.0,http://bakucolle.com/archives/13001377.html
若潟祉鴻祉眼ゃ (≪),Darkus Cross Dragonoid (Clear Black),Darkus,540G,32mm,16.5g,5.0,http://bakucolle.com/archives/13001484.html
≪ｃ＜ 祉眼ゃ 7 in 1,7 in 1 Maxus Dragonoid,Pyrus,Unknown,,117.0g,2.0,http://bakucolle.com/archives/12238568.html
≪ｃ＜ 祉眼ゃ 7 in 1,7 in 1 Maxus Dragonoid,Pyrus,7 in 1 MAXUS DRAGONOID,,117.0g,5.0,http://bakucolle.com/archives/12237788.html
眼＜祉,Pyrus Viper Helios,Pyrus,400G/420G/440G,32mm,13.5g,2.0,http://bakucolle.com/archives/11361308.html
眼＜祉 鴻激ｃ寂罕,Pyrus Viper Helios Special Color,Pyrus,480G/510G/560G,32mm,13.5g,7.0,http://bakucolle.com/archives/11361501.html
≪≪祉,Aquos Viper Helios,Aquos,500G,32mm,13.5g,3.0,http://bakucolle.com/archives/13000908.html
,Viper Helios,Pyrus,650G,32mm,13.5g,7.0,http://bakucolle.com/archives/11361211.html
眼＜祉,Pyrus Viper Helios,Pyrus,720G,32mm,13.5g,7.0,http://bakucolle.com/archives/26545216.html
≪≪祉,Viper Helios,Aquos,730G,32mm,13.5g,5.0,http://bakucolle.com/archives/20336971.html
≪≪祉 (＜若娯罕),Viper Helios,Aquos,730G,32mm,13.5g,5.0,http://bakucolle.com/archives/25025484.html
≪≪祉,Aquos Viper Helios,Aquos,650G,32mm,14.0g,8.0,http://bakucolle.com/archives/20337045.html
≪≪祉,Viper Helios,Aquos,660G,32mm,14.0g,7.0,http://bakucolle.com/archives/20337015.html
≪≪祉,Aquos Viper Helios,Aquos,710G,32mm,13.5g,7.0,http://bakucolle.com/archives/29333399.html
若ｃ鴻祉,Ventus Viper Helios,Ventus,660G,32mm,14.0g,5.0,http://bakucolle.com/archives/26545144.html
若ｃ鴻祉,Ventus Viper Helios,Ventus,850G,32mm,14.0g,8.0,http://bakucolle.com/archives/25104655.html
泣祉,Viper Helios,Subterra,480G,32mm,13.5g,5.0,http://bakucolle.com/archives/25178219.html
泣祉,Viper Helios,Subterra,550G,32mm,13.5g,7.0,http://bakucolle.com/archives/25178319.html
祉,Haos Viper Helios,Haos,550G,32mm,14.0g,7.0,http://bakucolle.com/archives/19419116.html
祉,Haos Viper Helios,Haos,730G/770G,32mm,14.0g,7.0,http://bakucolle.com/archives/26545162.html
,Viper Helios,Darkus,550G,32mm,13.5g,7.0,http://bakucolle.com/archives/13001014.html
若潟祉,Darkus Viper Helios,Darkus,610G,32mm,13.5g,7.0,http://bakucolle.com/archives/26545197.html
若潟祉,Darkus Viper Helios,Darkus,750G,32mm,14.0g,7.0,http://bakucolle.com/archives/29653504.html
若潟祉,Darkus Viper Helios,Darkus,550G,32mm,14.0g,7.0,http://bakucolle.com/archives/29653478.html
,Viper Helios,Clear,720G,32mm,14.0g,7.0,http://bakucolle.com/archives/15169532.html
,Viper Helios,Clear,550G/850G,32mm,14.0g,8.0,http://bakucolle.com/archives/25025532.html
,Viper Helios,Clear,650G,32mm,13.5g,6.0,http://bakucolle.com/archives/11361273.html
若祉若,Orbit Helios,Ventus,520G,32mm,14.5g,3.0,http://bakucolle.com/archives/7387251.html
若祉若,Orbit Helios,Aquos,720G,32mm,,,http://bakucolle.com/archives/7155221.html
泣ゃ若違,Cyborg Helios,Pyrus,500G,32mm,11.5g,4.0,http://bakucolle.com/archives/12236576.html
若ｃ鴻祉泣ゃ若違祉,Ventus Cyborg Helios,Ventus,520G/540G,32mm,12.0g,3.0,http://bakucolle.com/archives/13000750.html
泣ゃ若違祉,Cyborg Helios,Haos,460G,32mm,12.0g,4.0,http://bakucolle.com/archives/15169421.html
若潟祉泣ゃ若違祉,Darkus Cyborg Helios,Darkus,520G,32mm,12.0g,3.0,http://bakucolle.com/archives/13000886.html
泣ゃ若違,Cyborg Helios,Pyrus,450G/620G/680G,32mm,12.0g,4.0,http://bakucolle.com/archives/11361784.html
泣ゃ若違祉,Cyborg Helios,Pyrus,650G,32mm,12.5g,7.0,http://bakucolle.com/archives/11011288.html
眼＜祉泣ゃ若違,Pyrus Cyborg Helios,Pyrus,600G,32mm,11.5g,8.0,http://bakucolle.com/archives/26573009.html
泣ゃ若違,Cyborg Helios,Aquos,720G,32mm,12.0g,7.0,http://bakucolle.com/archives/20336927.html
≪≪祉泣ゃ若違,Aquos Cyborg Helios,Aquos,780G,32mm,12.0g,7.0,http://bakucolle.com/archives/29653348.html
≪≪祉泣ゃ若違,Aquos Cyborg Helios,Aquos,Unknown,32mm,12.0g,9.0,http://bakucolle.com/archives/27133089.html
若ｃ鴻祉泣ゃ若違,Ventus Cyborg Helios,Ventus,780G,32mm,11.5g,6.0,http://bakucolle.com/archives/26832853.html
若ｃ鴻祉泣ゃ若違,Ventus Cyborg Helios,Ventus,Unknown,32mm,12.5g,9.0,http://bakucolle.com/archives/27133034.html
泣祉泣ゃ若違,Cyborg Helios,Subterra,540G,32mm,11.5g,4.0,http://bakucolle.com/archives/25178175.html
泣ゃ若違,Cyborg Helios,Haos,580G/630G,32mm,11.5g,4.0,http://bakucolle.com/archives/15166322.html
泣ゃ若違,Cyborg Helios,Haos,625G,32mm,12.0g,7.0,http://bakucolle.com/archives/21636681.html
鴻祉泣ゃ若違,Cyborg Helios,Haos,770G,32mm,11.5g,6.0,http://bakucolle.com/archives/25526116.html
若潟祉泣ゃ若違祉,Darkus Cyborg Helios,Darkus,670G,32mm,12.0g,8.0,http://bakucolle.com/archives/29332551.html
≪＜若ャ,Alpha Hydranoid,Darkus,Unknown,,,,http://bakucolle.com/archives/7037374.html
泣ゃ若違祉,Cyborg Helios,Darkus,Unknown,32mm,12.0g,9.0,http://bakucolle.com/archives/25085291.html
泣ゃ若違,Cyborg Helios,Clear,650G,32mm,12.5g,7.0,http://bakucolle.com/archives/25036138.html
泣ゃ若違鴻祉帥若,Turbine Helios,Pyrus,440G/460G/480G,32mm,17.0g,2.0,http://bakucolle.com/archives/11361651.html
≪≪祉泣ゃ若違鴻祉帥若,Aquos Turbine Helios,Aquos,640G,32mm,17.5g,5.0,http://bakucolle.com/archives/29332578.html
若ｃ鴻 泣ゃ若違鴻祉帥若,Turbine Helios,Ventus,630G/640G,32mm,17.5g,5.0,http://bakucolle.com/archives/25112168.html
泣ゃ若違 祉帥若,Turbine Helios,Haos,800G,32mm,17.0g,5.0,http://bakucolle.com/archives/15166392.html
MK,Helios MK,Pyrus,540G,32mm,15.5g,4.0,http://bakucolle.com/archives/7726822.html
眼＜祉MK(),Pyrus Helios MK(Black),Pyrus,540G,32mm,16.0g,7.0,http://bakucolle.com/archives/7726994.html
眼＜祉MK,Pyrus Helios MK,Pyrus,520G/540G+(180G/200G),32mm,15.5g/(16.5)g,7.0,http://bakucolle.com/archives/7728182.html
MK 鐚 ゃ潟ｃ鴻帥,Clear Helios MK + Twin Destructor,Pyrus,540G+(200G),32mm,16.0g/(17.5)g,8.0,http://bakucolle.com/archives/7727994.html
MK,Helios MK,Aquos,520G,32mm,15.5g,5.0,http://bakucolle.com/archives/7727053.html
若ｃ鴻祉MK,Ventus Helios MK,Ventus,540G,32mm,15.5g,7.0,http://bakucolle.com/archives/7727332.html
若ｃ鴻祉MK (≪違若),Ventus Helios MK (Clear Green),Ventus,550G,32mm,16.5g,8.0,http://bakucolle.com/archives/7727512.html
若潟祉MK,Darkus Helios MK,Darkus,520G,32mm,15.5g,6.0,http://bakucolle.com/archives/7727404.html
若潟祉MK-(≪),Darkus Helios MK-(Clear Black),Darkus,550G,32mm,16.5g,9.0,http://bakucolle.com/archives/7727716.html
MK ver.4.3(≪帥ゃ),Helios MK ver.4.3(Clear Type),Clear,300G/560G,32mm,16.0g,9.0,http://bakucolle.com/archives/7728318.html
≪ｃ＜ 祉 7 in 1,Maxus Helios 7 in 1,Pyrus,Unknown,,87.0g,4.0,http://bakucolle.com/archives/12236468.html
≪ｃ＜ 祉 7 in 1,Maxus Helios 7 in 1,Pyrus,Unknown,,87.0g,7.0,http://bakucolle.com/archives/12237947.html
≪ｃ＜祉,Maxus Helios,Pyrus,Unknown,,87.0g,7.0,http://bakucolle.com/archives/11012720.html
≪≪祉ｃ,Aquos Elfin,Aquos,200G/420G/440G/460G,32mm,11.5g,3.0,http://bakucolle.com/archives/13000529.html
ｃ,Elfin,Pyrus,400G/500G/700G,32mm,11.0g,5.0,http://bakucolle.com/archives/11395685.html
≪≪祉ｃ,Aquos Elfin,Aquos,(550G-610G-650G)690G()780G(),32mm,11.0g,6.0,http://bakucolle.com/archives/20320398.html
ｃ,Elfin,Aquos,650G,32mm,12.0g,8.0,http://bakucolle.com/archives/20320454.html
若ｃ鴻祉ｃ,Elfin,Ventus,540G-610G-660G,32mm,11.0g,6.0,http://bakucolle.com/archives/25111972.html
泣祉ｃ,Elfin,Subterra,700G,32mm,11.0g,6.0,http://bakucolle.com/archives/25178021.html
ｃ,Elfin,Haos,(340G-570G-660G)/680G,32mm,11.0g,6.0,http://bakucolle.com/archives/15165553.html
ｃ,Elfin,Clear,Unknown,32mm,11.5g,8.0,http://bakucolle.com/archives/15185411.html
≪≪祉ャ≪祉ｃ,Aquos Dual Elfin,Aquos,460G,32mm,10.0g,4.0,http://bakucolle.com/archives/20249816.html
眼＜祉ャ≪ 祉ｃ,Dual Elfin,Pyrus,640G,32mm,10.5g,4.0,http://bakucolle.com/archives/11395569.html
ャ≪祉ｃ,Dual Elfin,Pyrus,540G,32mm,10.5g,5.0,http://bakucolle.com/archives/11395479.html
眼＜祉ャ≪祉ｃ (＜若娯罕),Pyrus Dual Elfin,Pyrus,750G,32mm,10.5g,5.0,http://bakucolle.com/archives/26572867.html
≪≪祉ャ≪祉ｃ,Aquos Dual Elfin,Aquos,510G/530G/690G/710G,32mm,10.5g,5.0,http://bakucolle.com/archives/20334641.html
ャ≪祉ｃ (＜若娯罕),Dual Elfin,Aquos,520G,32mm,10.5g,5.0,http://bakucolle.com/archives/20334713.html
≪≪祉ャ≪祉ｃ,Aquos Dual Elfin,Aquos,640G,32mm,10.5g,5.0,http://bakucolle.com/archives/29333034.html
若ｃ鴻祉ャ≪祉ｃ,Dual Elfin,Ventus,550G,32mm,10.0g,5.0,http://bakucolle.com/archives/25111925.html
泣祉ャ≪祉ｃ,Subterra Dual Elfin,Subterra,560G/640G,32mm,10.5g,6.0,http://bakucolle.com/archives/27384751.html
祉ャ≪ 祉ｃ,Dual Elfin,Haos,520G,32mm,10.5g,5.0,http://bakucolle.com/archives/15165565.html
若潟祉ャ≪祉ｃ,Darkus Dual Elfin,Darkus,530G,32mm,10.5g,6.0,http://bakucolle.com/archives/27384732.html
ャ≪祉ｃ,Dual Elfin,Clear,Unknown,32mm,10.5g,7.0,http://bakucolle.com/archives/19418379.html
ャ≪祉ｃ 祉ャ若激с,Dual Elfin Revolution,Aquos,550G/640G/760G,32mm,,,http://bakucolle.com/archives/7155517.html
若ｃ鴻祉ャ≪祉ｃ潟祉ャ若激с,Ventus Dual Elfin Revolution,Ventus,610G/660G/750G,32mm,11.0g,6.0,http://bakucolle.com/archives/28442289.html
若潟祉ャ≪祉ｃ潟祉ャ若激с,Darkus Dual Elfin Revolution,Darkus,550G/650G/750G,32mm,11.0g,6.0,http://bakucolle.com/archives/28442305.html
眼＜祉潟鴻祉ｃ,Minx Elfin,Pyrus,520G,32mm,11.5g,7.0,http://bakucolle.com/archives/11395769.html
潟鴻祉ｃ,Minx Elfin,Aquos,500G,32mm,12.0g,4.0,http://bakucolle.com/archives/20249883.html
≪ 祉潟鴻祉ｃ,Minx Elfin,Aquos,540G,32mm,12.0g,7.0,http://bakucolle.com/archives/20249854.html
若ｃ鴻祉潟鴻祉ｃ,Ventus Minx Elfin,Ventus,500G,32mm,11.5g,4.0,http://bakucolle.com/archives/25104689.html
潟鴻祉ｃ ver.,Minx Elfin,Ventus,210G/550G,32mm,11.5g,7.0,http://bakucolle.com/archives/25104771.html
若 祉潟鴻祉ｃ,Minx Elfin,Darkus,520G,32mm,12.0g,4.0,http://bakucolle.com/archives/13001352.html
眼＜祉ゃ潟違,Pyrus Ingram,Pyrus,500G/520G,32mm,12.0g,3.0,http://bakucolle.com/archives/11367351.html
若ｃ鴻祉ゃ潟違,Ventus Ingram,Ventus,400G/420G/440G,32mm,12.0g,2.0,http://bakucolle.com/archives/25102126.html
ゃ潟違(≪帥ゃ),Ingram,Ventus,480G,32mm,13.0g,4.0,http://bakucolle.com/archives/10874684.html
祉ゃ潟違,Haos Ingram,Haos,500G/540G,32mm,12.0g,2.0,http://bakucolle.com/archives/15185371.html
若潟祉ゃ潟違,Ingram,Darkus,540G,32mm,12.0g,3.0,http://bakucolle.com/archives/12989079.html
眼＜祉ゃ潟違,Ingram,Pyrus,610G,32mm,12.0g,5.0,http://bakucolle.com/archives/11367514.html
≪≪祉ゃ潟違,Ingram,Aquos,640G,32mm,12.5g,8.0,http://bakucolle.com/archives/20324478.html
若ｃ鴻祉ゃ潟違,Ventus Ingram,Ventus,420G/650G,32mm,12.0g,7.0,http://bakucolle.com/archives/29653070.html
ゃ潟違,Ingram,Ventus,650G,32mm,12.5g,8.0,http://bakucolle.com/archives/25091748.html
ゃ潟違,Ingram,Ventus,780G,32mm,12.0g,7.0,http://bakucolle.com/archives/25526087.html
若ｃ鴻祉ゃ潟違,Ventus Ingram,Ventus,600G,32mm,13.0g,7.0,http://bakucolle.com/archives/27385094.html
泣祉ゃ潟違,Ingram,Subterra,680G,32mm,12.0g,5.0,http://bakucolle.com/archives/25177824.html
祉ゃ潟違,Ingram,Haos,650G,32mm,12.0g,5.0,http://bakucolle.com/archives/15164344.html
ゃ潟違,Ingram,Haos,730G,32mm,12.0g,5.0,http://bakucolle.com/archives/15922421.html
若潟祉ゃ潟違,Ingram,Darkus,510G/730G,32mm,12.0g,5.0,http://bakucolle.com/archives/12989127.html
若潟祉ゃ潟違,Ingram,Darkus,720G,32mm,12.0g,6.0,http://bakucolle.com/archives/12989173.html
若潟祉ゃ潟違,Darkus Ingram,Darkus,560G/690G,32mm,12.5g,7.0,http://bakucolle.com/archives/12989194.html
眼＜祉ゃ潟違,Pyrus Ingram,Clear,680G/760G,32mm,12.0g,8.0,http://bakucolle.com/archives/25027009.html
眼＜祉ゃ潟違,Ingram,Clear,610G,32mm,12.0g,6.0,http://bakucolle.com/archives/11367582.html
