Source_List,Nombre_JP,Nombre_ENG,Atributo,G-Power,Size,Weight,Rareza,URL
32mm,鴻若祉с,Storm skyress,Ventus,600G,32mm,14.0g,8.0,http://bakucolle.com/archives/25091770.html
32mm,若ｃ鴻祉鴻若祉с,Ventus Storm Skyress,Ventus,630G,32mm,13.5g,7.0,http://bakucolle.com/archives/25091717.html
32mm,若ｃ鴻祉鴻若祉с,Ventus Storm Skyress,Ventus,G,32mm,14.0g,7.0,http://bakucolle.com/archives/27834681.html
32mm,泣祉鴻若祉с,Subterra Storm Skyress,Subterra,520G,32mm,13.5g,5.0,http://bakucolle.com/archives/29654328.html
32mm,鴻若祉с,Storm Skyress,Haos,350G,32mm,13.5g,6.0,http://bakucolle.com/archives/14882858.html
32mm,若鴻祉鴻若祉с,Darkus Storm Skyress,Darkus,500G,32mm,14.0g,8.0,http://bakucolle.com/archives/26832821.html
32mm,眼若,Gorem,Aquos,480G,32mm,11.5g,8.0,http://bakucolle.com/archives/20195901.html
32mm,泣祉眼若,Subterra Gorem,Subterra,450G/530G/610G/670G,32mm,11.5g,5.0,http://bakucolle.com/archives/25130976.html
32mm,若潟祉眼若,Darkus Gorem,Darkus,520G,32mm,11.5g,8.0,http://bakucolle.com/archives/27379895.html
32mm,眼若,Gorem,Unknown,510G,32mm,12.0g,8.0,http://bakucolle.com/archives/29334652.html
32mm,潟若祉眼若,Hammer Gorem,Subterra,340G,32mm,12.5g,3.0,http://bakucolle.com/archives/25130589.html
32mm,潟若祉眼若,Hammer Gorem,Pyrus,420G/580G/670G,32mm,12.5g,5.0,http://bakucolle.com/archives/11541693.html
32mm,≪≪祉潟若祉眼若,Aquos Hammer Gorem,Aquos,480G,32mm,12.0g,8.0,http://bakucolle.com/archives/29334721.html
32mm,潟若祉眼若,Hammer Gorem,Aquos,350G,32mm,12.5g,8.0,http://bakucolle.com/archives/20196162.html
32mm,潟若祉眼若,Hammer Gorem,Subterra,380G/400G/480G/610G,32mm,12.5g,4.0,http://bakucolle.com/archives/25130611.html
32mm,泣祉潟若祉眼若,Subterra Hammer Gorem,Subterra,580G,32mm,12.5g,7.0,http://bakucolle.com/archives/19418072.html
32mm,潟若祉眼若,Hammer Gorem,Haos,400G/460G/530G,32mm,12.5g,5.0,http://bakucolle.com/archives/14881768.html
32mm,潟若祉眼若,Hammer Gorem,Darkus,600G,32mm,12.5g,5.0,http://bakucolle.com/archives/15921997.html
32mm,泣祉祉潟若,Subterra Centipoid,Subterra,340G/500G,32mm,11.0g,4.0,http://bakucolle.com/archives/25130096.html
32mm,眼＜祉祉潟若,Pyrus Centipoid,Pyrus,520G/540G/620G,32mm,11.0g,7.0,http://bakucolle.com/archives/27379411.html
32mm,眼＜祉祉潟若,Pyrus Centipoid,Pyrus,540G,32mm,11.5g,7.0,http://bakucolle.com/archives/26572819.html
32mm,若ｃ鴻祉祉潟若,Ventus Centipoid,Ventus,650G,32mm,11.0g,8.0,http://bakucolle.com/archives/27379448.html
32mm,祉潟若,Centipoid,Subterra,450G,32mm,11.0g,6.0,http://bakucolle.com/archives/25130078.html
32mm,祉潟若,Centipoid,Darkus,600G/630G,32mm,11.0g,6.0,http://bakucolle.com/archives/15922109.html
32mm,若ｃ鴻祉帥,Ventus Falconeer,Ventus,260G,32mm,12.0g,4.0,http://bakucolle.com/archives/25090817.html
32mm,≪≪祉激ャ,Aquos Fear ripper,Aquos,240G,32mm,12.0g,3.0,http://bakucolle.com/archives/20195190.html
32mm,若ｃ鴻祉激ャ,Ventus Fear Ripper,Ventus,530G/550G,32mm,12.0g,8.0,http://bakucolle.com/archives/27844474.html
32mm,激ャ,Fear Ripper,Haos,470G,32mm,12.0g,6.0,http://bakucolle.com/archives/15922780.html
32mm,若潟祉激ャ,Darkus Fear Ripper,Darkus,610G,32mm,12.0g,8.0,http://bakucolle.com/archives/29335166.html
32mm,泣祉吾ｃ若若,Subterra Juggernoid,Subterra,340G/380G/540G,32mm,11.0g,4.0,http://bakucolle.com/archives/25130460.html
32mm,吾ｃ若若,Juggernoid,Pyrus,500G/540G,32mm,11.5g,5.0,http://bakucolle.com/archives/11542514.html
32mm,吾ｃ若若,Juggernoid,Ventus,450G/590G,32mm,11.5g,5.0,http://bakucolle.com/archives/13000285.html
32mm,吾ｃ若若,Juggernoid,Subterra,500G/570G,32mm,11.5g,5.0,http://bakucolle.com/archives/25130476.html
32mm,≪≪祉若吟若,Aquos Laserman,Aquos,440G,32mm,11.0g,3.0,http://bakucolle.com/archives/20195343.html
32mm,眼＜祉若吟若,Pyrus Laserman,Pyrus,300G/460G/480G/490G/580G,32mm,10.5g,6.0,http://bakucolle.com/archives/11540969.html
32mm,眼＜祉若吟若,Pyrus Laserman,Pyrus,470G,32mm,11.0g,6.0,http://bakucolle.com/archives/11540191.html
32mm,若ｃ鴻祉若吟若,Ventus Laserman,Ventus,300G/490G/530G,32mm,11.0g,6.0,http://bakucolle.com/archives/25091007.html
32mm,若吟若,Laserman,Ventus,390G,32mm,11.0g,6.0,http://bakucolle.com/archives/25091650.html
32mm,祉若吟若,Haos Laserman,Haos,400G/460G/480G,32mm,10.5g,6.0,http://bakucolle.com/archives/14881604.html
32mm,若吟若,Laserman,Darkus,520G,32mm,11.0g,6.0,http://bakucolle.com/archives/12938522.html
32mm,≪≪祉激с,Aquos Reaper,Aquos,380G,32mm,12.0g,3.0,http://bakucolle.com/archives/20195275.html
32mm,≪≪祉激с,Aquos Reaper,Aquos,500G,32mm,13.0g,9.0,http://bakucolle.com/archives/27361803.html
32mm,激с,Reaper,Subterra,560G,32mm,12.0g,8.0,http://bakucolle.com/archives/25130253.html
32mm,若潟祉激с,Darkus Reaper,Darkus,490G,32mm,12.0g,8.0,http://bakucolle.com/archives/29335186.html
32mm,≪≪祉違,Aquos Griffon,Aquos,450G,32mm,12.5g,3.0,http://bakucolle.com/archives/20195143.html
32mm,違,Griffon,Ventus,470G/530G,32mm,13.0g,5.0,http://bakucolle.com/archives/25090991.html
32mm,違,Griffon,Ventus,430G,32mm,13.0g,6.0,http://bakucolle.com/archives/25091623.html
32mm,違,Griffon,Haos,450G,32mm,13.0g,5.0,http://bakucolle.com/archives/14881678.html
32mm,違,Griffon,Darkus,400G/550G,32mm,12.5g,5.0,http://bakucolle.com/archives/12938457.html
32mm,純,Robotallion,Pyrus,480G/510G,32mm,13.0g,6.0,http://bakucolle.com/archives/11542945.html
32mm,純,Robotallion,Aquos,570G,32mm,12.5g,6.0,http://bakucolle.com/archives/20195646.html
32mm,若ｃ鴻祉純,Ventus Robotallion,Ventus,480G,32mm,12.0g,8.0,http://bakucolle.com/archives/27379598.html
32mm,泣祉純,Sbuterra Robotallion,Subterra,500G,32mm,12.0g,8.0,http://bakucolle.com/archives/27379600.html
32mm,祉純,Haos Robotallion,Haos,450G,32mm,12.0g,8.0,http://bakucolle.com/archives/27379635.html
32mm,≪≪祉吟,Aquos Saurus,Aquos,450G/620G,32mm,12.5g,5.0,http://bakucolle.com/archives/20195859.html
32mm,吟,Saurus,Haos,570G,32mm,13.0g,5.0,http://bakucolle.com/archives/14881011.html
32mm,吟,Saurus,Unknown,570G,32mm,13.0g,5.0,http://bakucolle.com/archives/14880984.html
32mm,泣祉泣若潟,Subterra Serpenoid,Subterra,330G/420G,32mm,11.0g,4.0,http://bakucolle.com/archives/25130389.html
32mm,泣若潟,Serpenoid,Pyrus,330G,32mm,11.0g,5.0,http://bakucolle.com/archives/11542854.html
32mm,若ｃ鴻祉泣若潟,Ventus Serpenoid,Ventus,330G,32mm,11.0g,5.0,http://bakucolle.com/archives/29654394.html
32mm,泣若潟,Serpenoid,Subterra,290G/540G,32mm,10.5g,5.0,http://bakucolle.com/archives/25130417.html
32mm,祉泣若潟,Haos Serpenoid,Haos,460G/500G,32mm,10.5g,5.0,http://bakucolle.com/archives/14881473.html
32mm,若潟祉泣若潟,Darkus Serpenoid,Darkus,550G,32mm,11.0g,8.0,http://bakucolle.com/archives/27379747.html
32mm,泣祉鴻潟若,Subterra Stinglash,Subterra,430g/480G/500G,32mm,11.0g,4.0,http://bakucolle.com/archives/25130666.html
32mm,眼＜祉鴻潟若,Pyrus Stinglash,Pyrus,330G/400G/510G/620G,32mm,10.5g,5.0,http://bakucolle.com/archives/11542445.html
32mm,≪≪祉鴻潟若,Aquos Stinglash,Aquos,440G/540G,32mm,11.0g,5.0,http://bakucolle.com/archives/20195956.html
32mm,鴻潟若,Stinglash,Ventus,440G,32mm,11.5g,5.0,http://bakucolle.com/archives/25090912.html
32mm,鴻潟若,Stinglash,Subterra,280G,32mm,11.0g,5.0,http://bakucolle.com/archives/25130693.html
32mm,泣祉鴻潟若,Subterra Stinglash,Subterra,420G,32mm,11.0g,5.0,http://bakucolle.com/archives/29334526.html
32mm,鴻潟若,Stinglash,Haos,420G,32mm,11.0g,5.0,http://bakucolle.com/archives/14882290.html
32mm,鴻潟若,Stinglash,Darkus,440G/540G,32mm,11.0g,5.0,http://bakucolle.com/archives/12938295.html
32mm,鴻潟若,Stinglash,Darkus,390G,32mm,13.0g,7.0,http://bakucolle.com/archives/12948208.html
32mm,泣祉泣ゃ,Subterra Cycloid,Subterra,440G,32mm,12.0g,8.0,http://bakucolle.com/archives/25130643.html
32mm,眼＜祉泣ゃ,Pyrus Cycloid,Pyrus,510G,32mm,12.0g,8.0,http://bakucolle.com/archives/25025434.html
32mm,泣祉若眼ゃ,Subterra Gargonoid,Subterra,380G/480G,32mm,12.0g,4.0,http://bakucolle.com/archives/25130618.html
32mm,若眼ゃ,Gargonoid,Pyrus,520G,32mm,11.5g,5.0,http://bakucolle.com/archives/11542469.html
32mm,若ｃ鴻祉若眼ゃ,Ventus Gargonoid,Ventus,560G,32mm,12.0g,5.0,http://bakucolle.com/archives/29334533.html
32mm,泣祉若眼ゃ,Subterra Gargonoid,Subterra,430G/520G,32mm,12.0g,5.0,http://bakucolle.com/archives/25130621.html
32mm,若眼ゃ,Gargonoid,Haos,560G,32mm,12.0g,5.0,http://bakucolle.com/archives/14882745.html
32mm,潟ｃ,Mantris,Ventus,200G/540G,32mm,12.5g,4.0,http://bakucolle.com/archives/25091249.html
32mm,潟ｃ,Mantris,Ventus,550G,32mm,12.5g,5.0,http://bakucolle.com/archives/25091205.html
32mm,潟ｃ,Mantris,Subterra,450G,32mm,12.5g,8.0,http://bakucolle.com/archives/25131068.html
32mm,潟ｃ,Mantris,Darkus,570G,32mm,12.5g,8.0,http://bakucolle.com/archives/12940595.html
32mm,眼＜祉若,Pyrus Terrorclaw,Pyrus,520G/540G,32mm,12.5g,4.0,http://bakucolle.com/archives/11542127.html
32mm,眼＜祉若,Terrorclaw,Pyrus,380G,32mm,10.5g,5.0,http://bakucolle.com/archives/11542225.html
32mm,若,Terrorclaw,Aquos,460G,32mm,10.5g,5.0,http://bakucolle.com/archives/17961458.html
32mm,若ｃ鴻祉若,Ventus Terrorclaw,Ventus,650G,32mm,12.0g,8.0,http://bakucolle.com/archives/26572835.html
32mm,泣祉若,Subterra Terrorclaw,Subterra,460G,32mm,12.5g,8.0,http://bakucolle.com/archives/27379827.html
32mm,若,Terrorclaw,Subterra,470G,32mm,13.0g,5.0,http://bakucolle.com/archives/25130836.html
32mm,祉若,Haos Terrorclaw,Haos,500G/540G,32mm,12.5g,6.0,http://bakucolle.com/archives/27379852.html
32mm,若,Terrorclaw,Darkus,600G,32mm,12.5g,8.0,http://bakucolle.com/archives/12939231.html
32mm,≪≪祉＜潟,Aquos Tuskor,Aquos,530G,32mm,11.0g,5.0,http://bakucolle.com/archives/29334614.html
32mm,若ｃ鴻祉＜潟,Ventus Tuskor,Ventus,450G,32mm,11.0g,8.0,http://bakucolle.com/archives/25091333.html
32mm,若潟祉＜潟,Darkus Tuskor,Darkus,560G,32mm,11.5g,9.0,http://bakucolle.com/archives/12938841.html
32mm,ゃ,Siege,Subterra,500G,28mm,12.5g,9.0,http://bakucolle.com/archives/25131060.html
32mm,眼＜祉鴻ｃ潟,Pyrus Manion,Pyrus,630G,28mm,12.0g,8.0,http://bakucolle.com/archives/29334836.html
32mm,祉吾ｃ,Haos Hynoid,Haos,600G,32mm,12.5g,9.0,http://bakucolle.com/archives/15922935.html
32mm,祉,Haos Limulus,Haos,480G,32mm,11.5g,3.0,http://bakucolle.com/archives/14883672.html
32mm,眼＜祉,Pyrus Limulus,Pyrus,350G/500G/510G,32mm,11.0g,5.0,http://bakucolle.com/archives/11541473.html
32mm,,Limulus,Pyrus,500G/570G,32mm,12.5g,7.0,http://bakucolle.com/archives/19418591.html
32mm,≪≪祉,Aquos Limulus,Aquos,380G/600G,32mm,11.0g,5.0,http://bakucolle.com/archives/20195507.html
32mm,若ｃ鴻祉,Ventus Limulus,Ventus,370G/450G/510G/540G/580G,32mm,11.0g,5.0,http://bakucolle.com/archives/25090886.html
32mm,祉,Haos Limulus,Haos,310G/440G/580G,32mm,11.0g,5.0,http://bakucolle.com/archives/14883786.html
32mm,若潟祉,Darkus Ravenoid,Darkus,470G/480G,32mm,12.0g,3.0,http://bakucolle.com/archives/12941741.html
32mm,眼＜祉,Pyrus Ravenoid,Pyrus,320G/430G/520G/550G,32mm,10.5g,5.0,http://bakucolle.com/archives/11541955.html
32mm,眼＜祉,Pyrus Ravenoid,Pyrus,470G,32mm,11.0g,6.0,http://bakucolle.com/archives/27380489.html
32mm,≪≪祉,Aquos Ravenoid,Aquos,320G,32mm,10.5g,5.0,http://bakucolle.com/archives/26571889.html
32mm,若ｃ鴻祉,Ventus Ravenoid,Ventus,340G/490G/600G,32mm,10.5g,5.0,http://bakucolle.com/archives/25091025.html
32mm,,Ravenoid,Haos,350G/460G,32mm,10.5g,5.0,http://bakucolle.com/archives/14882785.html
32mm,祉,Haso Ravenoid,Haos,600G,32mm,10.5g,7.0,http://bakucolle.com/archives/29334474.html
32mm,若潟祉,Darkus Ravenoid,Darkus,380G\500G/530G,32mm,10.5g,5.0,http://bakucolle.com/archives/12941624.html
32mm,≪≪祉鴻潟祉,Spin Ravenoid,Aquos,630G,32mm,13.5g,6.0,http://bakucolle.com/archives/20333062.html
32mm,若ｃ鴻祉鴻潟祉,Ventus Spin Ravenoid,Ventus,650G,32mm,13.5g,6.0,http://bakucolle.com/archives/25091136.html
32mm,鴻潟祉,Spin Ravenoid,Subterra,650G,32mm,13.5g,6.0,http://bakucolle.com/archives/25130738.html
32mm,鴻潟祉,Spin Ravenoid,Darkus,610G,32mm,13.5g,6.0,http://bakucolle.com/archives/12940506.html
32mm,眼＜祉違≪,Pyrus Warius,Pyrus,370G/650G,32mm,11.5g,5.0,http://bakucolle.com/archives/11541091.html
32mm,違≪,Warius,Pyrus,400G,32mm,11.0g,6.0,http://bakucolle.com/archives/11540021.html
32mm,違≪,Warius,Ventus,510G,32mm,11.5g,5.0,http://bakucolle.com/archives/25090830.html
32mm,違≪,Warius,Subterra,600G,32mm,11.5g,5.0,http://bakucolle.com/archives/25130774.html
32mm,違≪,Warius,Haos,300G/460G,32mm,11.5g,5.0,http://bakucolle.com/archives/14882180.html
32mm,違≪,Warius,Darkus,450G/490G,32mm,11.5g,5.0,http://bakucolle.com/archives/12940870.html
32mm,泣祉若,Subterra Wormquake,Subterra,430G,32mm,10.5g,4.0,http://bakucolle.com/archives/25130358.html
32mm,若,Wormquake,Aquos,410G/500G/580G,32mm,10.5g,5.0,http://bakucolle.com/archives/20195582.html
32mm,泣祉若,Subterra Wormquake,Subterra,350G/400G/650G,32mm,10.5g,5.0,http://bakucolle.com/archives/25130364.html
32mm,若,Wormquake,Haos,440G,32mm,10.0g,5.0,http://bakucolle.com/archives/14882216.html
32mm,祉若,Haos Wormquake,Haos,510G,32mm,10.5g,5.0,http://bakucolle.com/archives/27379247.html
32mm,若潟祉若,Darkus Wormquake,Darkus,400G/620G,32mm,10.5g,5.0,http://bakucolle.com/archives/12941919.html
32mm,若,Wormquake,Darkus,390G,32mm,10.0g,8.0,http://bakucolle.com/archives/12948086.html
32mm,若ｃ鴻祉若祉鴻ゃ,Ventus Bee Striker,Ventus,270G/470G,32mm,11.5g,4.0,http://bakucolle.com/archives/25101822.html
32mm,眼＜祉若祉鴻ゃ,Pyrus Bee Striker,Pyrus,550G,32mm,11.5g,5.0,http://bakucolle.com/archives/26571982.html
32mm,≪≪祉若祉鴻ゃ,Aquos Bee Striker,Aquos,430G,32mm,11.0g,6.0,http://bakucolle.com/archives/29654250.html
32mm,≪≪祉若祉鴻ゃ,Aquos Bee Striker,Aquos,830G,32mm,11.5g,5.0,http://bakucolle.com/archives/29334501.html
32mm,若祉鴻ゃ,Bee Striker,Ventus,380G/480G,32mm,11.5g,5.0,http://bakucolle.com/archives/25101852.html
32mm,若祉鴻ゃ,Bee Striker,Ventus,430G/490G,32mm,11.5g,6.0,http://bakucolle.com/archives/25101862.html
32mm,若ｃ鴻祉若祉鴻ゃ,Ventus Bee Striker,Ventus,550G,32mm,11.5g,5.0,http://bakucolle.com/archives/26571954.html
32mm,若祉鴻ゃ,Bee Striker,Subterra,570G,32mm,11.5g,5.0,http://bakucolle.com/archives/25130208.html
32mm,若祉鴻ゃ,Bee Striker,Haos,430G/500G,32mm,11.5g,6.0,http://bakucolle.com/archives/14882032.html
32mm,祉祉潟潟,Haos El Condor,Haos,350G/450G,32mm,11.5g,3.0,http://bakucolle.com/archives/14884482.html
32mm,≪≪祉祉潟潟,Aquos El Condor,Aquos,530G/600g,32mm,11.5g,5.0,http://bakucolle.com/archives/27379538.html
